parts_id,Line,Part,Description,Loc,Mfg,QOH,Qty  Available,Retail,Committed Qty,Seq #,Retail Alt,Repl Cost,Repl Cost Alt,Avg Cost Prc
516,ACL,9640,WIPER BLADE,,,2,2,33.33,0,139400,33.33,23.5,23.5,23.5
517,ACL,9641,WIPER BLADE SET,,,1,1,37.46,0,139700,37.46,24.35,24.35,24.35
518,ACL,9644,Wiper Blade Set,,,2,2,64.29,0,140000,64.29,28,28,28
519,ACL,9646,Wiper Blade Set,,,0,0,64.29,0,140300,64.29,34,34,33
520,ACL,9647,WIPER BLADE SET,,,0,0,47.08,0,140600,47.08,30.6,30.6,30.6
521,ACL,9650,Wiper Blade Set,,,1,1,35,0,141000,35,24,24,24
522,ACL,9652,Wiper Blade Set,,,2,2,70.1,0,141300,70.1,27,27,27
523,ACL,9656,Wiper Blade Set,,,1,1,45.38,0,141400,45.38,29.5,29.5,29.5
524,ACL,9660,"Wiper Blade,Rear/340mm",,,0,0,13.08,0,141500,13.08,8.75,8.75,8.75
525,ACL,9670,WIPER TRANS.,,,1,1,80.71,0,141800,80.71,30,30,30
526,ACL,9671,Wiper Transmission,,,0,0,133.84,0,142100,133.84,60.9,60.9,60.9
527,ACL,9672,Wiper Transmission,,,0,0,55.38,0,142400,55.38,36,36,36
528,ACL,9673,"Wiper Transmission,Front",,,0,0,68.41,0,142700,68.41,39.57,39.57,33
529,ACL,9675,WIPER LINKAGE,,,0,0,,0,143100,,95,95,95
530,ACL,9687,LH WIPER ARM,,,0,0,39.23,0,143500,39.23,25.5,25.5,25.5
531,ACL,9688,RH WIPER ARM,,,0,0,39.23,0,143900,39.23,25.5,25.5,25.5
532,ACL,9704,"Wiper Arm,Rear",,,0,0,84.32,0,144000,84.32,54.81,54.81,54.81
533,ACL,9705,WIPER ARM REAR,,,0,0,37.66,0,144100,37.66,24.48,24.48,24.48
534,ACL,9707,REAR WIPER ARM,,,1,1,74,0,144400,74,36.1,36.1,36.1
535,ACL,9708,WIPER ARM,,,1,1,41.76,0,144700,41.76,19,19,19
536,ACL,9709,REAR WIPER ARM,,,0,0,47.69,0,145000,47.69,24,24,24
537,ACL,9716,Wiper Blade,,,0,0,18.49,0,145300,18.49,13,13,13
538,ACL,9756,WASHER PUMP,,,1,1,27.94,0,145600,27.94,8.34,8.34,8.34
539,ACL,9757,WASHER PUMP,,,2,2,29.14,0,145900,29.14,9.34,9.34,9.555
540,ACL,9763,WASHER JET,,,0,0,4,0,146200,4,2,2,2
541,ACL,9774,A/C Pressure Sensor,,,0,0,57.14,0,146500,57.14,30,30,30
542,ACL,9774C,A/C SAFETY SWITCH,,,1,1,73.85,0,146500,73.85,48,48,48
543,ACL,9776,HEATER MOTOR,,,0,0,173.07,0,146800,173.07,90.86,90.86,90.86
544,ACL,9791,LH RAD FAN,,,0,0,,0,147200,,80,80,80
545,ACL,9794,RAD FAN,,,0,0,122.07,0,147500,122.07,63,63,63
546,ACL,9795,RAD FAN 290MM,,,0,0,121.43,0,147800,121.43,59,59,59
547,ACL,9796,"Rad Fan Motor,Left",,,0,0,285.71,0,148100,285.71,190,190,190
548,ACL,9797,RIGHT FAN,,,0,0,155.55,0,148500,155.55,75,75,75
549,ACL,9808,Rad Thermoswitch,,,0,0,15.69,0,148800,15.69,10.2,10.2,10.2
550,ACL,9810,THERMOSTAT SW,,,1,1,27.04,0,149100,27.04,11.33,11.33,11.33
551,ACL,9812,Rad Thermoswitch,,,2,2,28.57,0,149400,28.57,11.33,11.33,11.33
552,ACL,9827,MIRROW SW,,,0,0,,0,149800,,12,12,12
553,ACL,9851,SECONDAY WATER PUMP,,,0,0,180.5,0,149900,180.5,90.78,90.78,90.78
554,ACL,9852,Electric Secondary Water Pump,,,0,0,92,0,150200,92,70,70,70
555,ACL,9853,WATER PUMP,,,0,0,138,0,150500,138,92,92,92
556,ACL,9854,Water Pump,,,0,0,235,0,150600,235,175,175,175
557,ACL,9880,HARNESS IGNITION COILS,,,0,0,92.8,0,150700,92.8,60.32,60.32,60.32
558,ACL,9907,WIRE SET,,,0,0,76.14,0,151100,76.14,49.49,49.49,49.49
559,ACL,9908,Spark Plug Wire Set,,,1,1,71.97,0,151400,71.97,32.75,32.75,32.75
560,ACL,9911,IGNITION COIL,,,1,1,71.14,0,152000,71.14,32.5,32.5,32.5
561,ACL,9913,SPARK PLUG WIRE,,,0,0,94.71,0,152300,94.71,39.78,39.78,39.78
562,ACL,9919,Spark Plug Wire Set,,,0,0,142.83,0,152600,142.83,66,66,66
563,ACL,9954,CRANK SENSOR,,,0,0,55.54,0,153500,55.54,27.62,27.62,27.62
564,ACL,9955,CRANK SENSOR,,,0,0,42.49,0,153900,42.49,27.62,27.62,27.62
565,ACL,13913,CRANKSHFT PULLY,,,1,1,170.71,0,154500,170.71,81.7,81.7,81.7
566,ACL,16703,THERMOSTAT,,,0,0,52.86,0,154800,52.86,23.05,23.05,23.05
567,ACL,33449,FLUSHING FLUID,,,0,0,17.14,0,155100,17.14,8.3,8.3,8.3
568,ACL,34144,BRAKE ROTOR,,,0,0,46.93,0,155400,46.93,16.5,16.5,16.5
569,ACL,34312,34116772669,,,0,0,88.57,0,155700,88.57,37,37,37
570,ACL,46100,FT SHOCK,,,0,0,144.26,0,156000,144.26,93.77,93.77,93.77
571,ACL,57041,WIRE SET,,,0,0,71.14,0,156300,71.14,32.64,32.64,32.64
572,ACL,69838,BLEEDER SCREW CAP,,ACL,0,0,5.69,0,157000,5.69,1.5,1.5,1.5
573,ACL,87024,WIPER BLADE,,,0,0,49.36,0,157300,49.36,22.46,22.46,22.46
574,ACL,89089,IDLER PULLEY,,,0,0,60.74,0,157600,60.74,26.52,26.52,26.52
575,ACL,90021,"Wiper Blade 900 Series 21""",,,0,0,24.62,0,157900,24.62,16,16,16
576,ACL,90022,"Wiper Blade 900 Series 22""",,,0,0,24.62,0,158200,24.62,16.6,16.6,16
577,ACL,99130,WIRE SET,,,1,1,79.59,0,158500,79.59,39,39,39
578,ACL,212248,HUB 930-412,,,1,1,68.57,0,159100,68.57,24.29,24.29,24.29
579,ACL,512319,USE FRANCE ONE 5338K,,,0,0,166.11,0,159400,166.11,58.14,58.14,58.14
580,ACL,513106,RE.W BEARING 4481,,,0,0,61.43,0,159700,61.43,28,28,28
581,ACL,520-549,C/ARM 8649543,,,1,1,201.69,0,160000,201.69,96,96,96
582,ACL,520-550,C/ARM 8649544,,,1,1,201.69,0,160300,201.69,96,96,96
583,ACL,891151,SPARK PLUG,,,8,8,21.29,0,160600,21.29,9.9,9.9,9.9
584,ACL,7712160,MANIFOLD AND CONVERTER,,,0,0,514.84,0,160900,514.84,270.39,270.39,270.39
585,ACL,1003A,FT CRANK SEAL,,,0,0,9.5,0,161700,9.5,3.5,3.5,3.5
586,ACL,1004A,Camshaft Adjuster Unit Housing,,,0,0,17.83,0,162000,17.83,7.46,7.46,7.46
587,ACL,1070A,Valve Cover Gasket,,,0,0,17.86,0,162300,17.86,9.75,9.75,9.75
588,ACL,1072A,VALVE COVER GASKET 06F103483D,,,1,1,25.71,0,162600,25.71,9,9,9
589,ACL,1075A,VALVE COVER GASKET,,,0,0,32.31,0,162900,32.31,21,21,21
590,ACL,1089A,OIL PAN W/SENSOR HOLE,,,0,0,65,0,163000,65,45.3,45.3,45.3
591,ACL,1106A,OIL PAN,,,0,0,65,0,163100,65,42.03,42.03,42.03
592,ACL,1112A,Oil Drain Plug W. Seal,,,30,30,2.14,0,163400,2.14,0.5,0.5,0.5
593,ACL,1117A,DIPSTICK TUBE,,,1,1,28.74,0,163800,28.74,21.5,21.5,18.68
594,ACL,1128A,DIPSTICK,,,1,1,10.11,0,164100,10.11,4.6,4.6,4.6
595,ACL,1151A,BREATHER HOSE,,,0,0,8.26,0,164200,8.26,5.37,5.37,5.37
596,ACL,1152A,Oil Separator,,,0,0,235.71,0,164500,235.71,139.36,139.36,139.36
597,ACL,1165A,INTAKE MANIFOLD,,,0,0,,0,164900,,208,208,208
598,ACL,1208A,CAMSHAFT ADJUSTER UNIT,,,0,0,245.18,0,165000,245.18,159.37,159.37,159.37
599,ACL,1210A,CAMSHAFT ADJUSTER VALVE,,,0,0,,0,165100,,133.9,133.9,133.9
600,ACL,1258A,TIMING CHAIN,,,0,0,,0,165400,,34,34,34
601,ACL,1298A,Timing Belt Dampener,,,0,0,118.1,0,165700,118.1,66,66,66
602,ACL,1379A,OIL FILTER,,ACL,2,2,41.43,0,166000,41.43,12.5,12.5,14.25
603,ACL,1387A,OIL COOLER SEAL,,,1,1,4.76,0,166300,4.76,1.33,1.33,1.33
604,ACL,1388A,OIL FILTER,,,4,4,10.77,0,166600,10.77,7,7,6.875
605,ACL,1390A,Oil Filter Cover,,,0,0,,0,166700,,,,
606,ACL,1393A,OIL FILTER,,,2,2,16.81,0,167000,16.81,8.75,8.75,8.75
607,ACL,1414A,WATER PUMP,,,1,1,96.92,0,167100,96.92,63,63,63
608,ACL,1422A,WATER HOSE,,,1,1,22.83,0,167400,22.83,9.36,9.36,9.36
609,ACL,1424A,Water Hose,,,0,0,7.05,0,167500,7.05,4.58,4.58,4.58
610,ACL,1437A,Heater Core Hose,,,0,0,78.46,0,167800,78.46,65,65,51
611,ACL,1438A,WATER TUBE,,,0,0,128.6,0,167900,128.6,83.59,83.59,83.59
612,ACL,1442A,COOLANT DIS,,,5,5,9.97,0,168200,9.97,2.04,2.04,2.04
613,ACL,1444A,Quick Connect,,,1,1,13.55,0,168500,13.55,8.81,8.81,8.81
614,ACL,1454A,SEAL,,,1,1,0.55,0,168900,0.55,0.36,0.36,0.36
615,ACL,1456A,THERMOSTAT HOUSING,,,2,2,129.51,0,169200,129.51,58.93,58.93,58.93
616,ACL,1462A,THERMOSTAT,,,1,1,35.71,0,169500,35.71,20,20,20
617,ACL,1471A,WATER FLANGE,,,1,1,13.86,0,169800,13.86,4.85,4.85,4.85
618,ACL,1474A,WATER FLANGE,,,2,2,18.54,0,170100,18.54,6.63,6.63,6.63
619,ACL,1476A,Water Flange,,,0,0,29.29,0,170400,29.29,20.07,20.07,20.07
620,ACL,1508A,QUICK CONNECT,,,0,0,35,0,170500,35,14,14,14
621,ACL,1545A,FUEL FILTER,,,1,1,,0,170900,,30,30,30
622,ACL,1548A,FUEL FULTER DSL,,,0,0,53.08,0,171000,53.08,34.5,34.5,34.5
623,ACL,1573A,VW G13 COOLANT 1L,,,10,10,13.07,0,171300,13.07,5.95,5.95,5.95
624,ACL,1581A,AIR FILTER,,,0,0,33.84,0,171600,33.84,16.5,16.5,16.5
625,ACL,1592A,3D0 129 620D AIR FILTER,,,1,1,26.68,0,171900,26.68,17.34,17.34,17.34
626,ACL,1594A,AIR FILTER,,,2,2,29.77,0,172000,29.77,20,20,20
627,ACL,1596A,AIR FILTER,,,1,1,48.5,0,172300,48.5,23.97,23.97,23.97
628,ACL,1623A,EXHAUST MANIFOLD GASKET,,,1,1,9.83,0,172600,9.83,2.08,2.08,2.08
629,ACL,1789A,Turbo Oil Feed Line,,,0,0,82.92,0,172900,82.92,66.17,66.17,53.9
