parts_id,Line,Part,Description,Loc,Mfg,QOH,Qty  Available,Retail,Committed Qty,Seq #,Retail Alt,Repl Cost,Repl Cost Alt,Avg Cost Prc
764,ACL,B0498,AIR FILTER,,,0,0,21.29,0,212300,21.29,8.9,8.9,8.9
765,ACL,B0500,AIR FILTER,,,1,1,26.51,0,212600,26.51,11.4,11.4,11.4
766,ACL,B-0502,AIR FILTER,,,0,0,24.7,0,212900,24.7,14.1,14.1,14.1
767,ACL,B-0503,AIR FILTER,,,2,2,30.33,0,213200,30.33,13.8,13.8,13.8
768,ACL,B0504,AIR FILTER,,,1,1,51.14,0,213500,51.14,20.55,20.55,20.55
769,ACL,B0506,AIR FILTER,,ACL,0,0,36.93,0,213800,36.93,16.8,16.8,16.8
770,ACL,B0507,AIR FILTER E720L,,,3,3,37.54,0,214100,37.54,15.26,15.26,15.647
771,ACL,B0508,AIR FILTER,,ACL,0,0,38.43,0,214400,38.43,16.9,16.9,16.9
772,ACL,B-0509,AIR FILTER,,,0,0,42.36,0,214700,42.36,18.86,18.86,18.86
773,ACL,B0510,AIR FILTER E822L,,,1,1,50.54,0,215000,50.54,19.32,19.32,21.107
774,ACL,B-0511,AIR FILTER (L),,,1,1,62.86,0,215300,62.86,30.8,30.8,30.8
775,ACL,B0512,RH AIR FILTER,,,1,1,58.69,0,215600,58.69,26.7,26.7,26.7
776,ACL,B0513,AIR FILTER,,,3,3,35.43,0,215900,35.43,18.3,18.3,17.561
777,ACL,B0514,X5  AIR FILTER,,,4,4,41.29,0,216200,41.29,14.06,14.06,16.606
778,ACL,B0515,"Air Filter, Left",,,1,1,49.43,0,216500,49.43,24.3,24.3,24.3
779,ACL,B0516,"Air Filter, Right",,,1,1,49.43,0,216800,49.43,24.3,24.3,24.3
780,ACL,B-0517,Air Filter,,,1,1,45.71,0,217100,45.71,21.4,21.4,21.4
781,ACL,1005B,Rear Main Seal w. Flange and Imp,,,0,0,107.69,0,217200,107.69,70,70,70
782,ACL,1081B,Valve Cover,,,1,1,213,0,217500,213,170,170,170
783,ACL,1082B,SPARK PLUG GSK,,,0,0,,0,217900,,5.5,5.5,5.5
784,ACL,1089B,OIL PAN W/SENSOR HOLE,,,0,0,97.44,0,218200,97.44,45,45,45
785,ACL,1099B,LOWER OIL PAN,,,1,1,75.21,0,218500,75.21,45,45,45
786,ACL,B1101,TEMPERATURE SEN,,,1,1,25.5,0,218800,25.5,11.22,11.22,11.22
787,ACL,B1104,COOLANT TEM SEN,,,2,2,40.86,0,219100,40.86,18.4,18.4,18.4
788,ACL,B1127,VALVE GOVER GES,,,0,0,,0,219400,,,,
789,ACL,1128B,Dipstick,,,0,0,50,0,219700,50,17.6,17.6,17
790,ACL,1150B,BLEEDES VALVE,,,2,2,23.09,0,220000,23.09,8.16,8.16,8.16
791,ACL,1153B,BREATHER T HOSE,,,0,0,19.79,0,220300,19.79,7.23,7.23,7.23
792,ACL,B-1170,IDLE AIR VALVE,,,0,0,260.12,0,220600,260.12,214.33,214.33,214.33
793,ACL,B-1203,Fuel Pressure Regulator,,,0,0,92,0,220900,92,59.8,59.8,59.8
794,ACL,1222B,CAM TENSIONER,,,0,0,144.62,0,221000,144.62,66,66,66
795,ACL,B1225,FUEL PUMP FOR BWM RELAY,,,1,1,24.1,0,221300,24.1,9.6,9.6,9.6
796,ACL,B1237,FUEL PUMP,,,0,0,,0,221700,,176.9,176.9,176.9
797,ACL,B1247,FUEL PUMP,,,0,0,382.86,0,222000,382.86,208.6,208.6,208
798,ACL,B-1250,FUEL PUMP,,,0,0,285.69,0,222300,285.69,185.7,185.7,185
799,ACL,B1251,FUEL PUMP,,,0,0,337.14,0,222600,337.14,168.9,168.9,168.9
800,ACL,1300B,LOWER CHAIN TIMING,,,0,0,27.69,0,222700,27.69,18,18,18
801,ACL,1302B,UPPER CHAIN TENSIONER,,,0,0,65,0,222800,65,23.95,23.95,23.95
802,ACL,1304B,Tensioner Pin,,,0,0,46.15,0,222900,46.15,30,30,30
803,ACL,1321B,Timing Chain Upper,,,0,0,174.29,0,223200,174.29,95,95,95
804,ACL,1378B,OIL FILTER 079198405E,,ACL,1,1,34.61,0,223500,34.61,23.96,23.96,18
805,ACL,1395B,OIL COOLER,,,0,0,,0,223800,,63,63,63
806,ACL,1416B,WATER PUMP  07D121008A,,,0,0,135.88,0,223900,135.88,95.88,95.88,95.88
807,ACL,1421B,WATER HOSE,,,0,0,30.71,0,224200,30.71,13.53,13.53,13.53
808,ACL,1424B,WATER HOSE,,,1,1,18.54,0,224500,18.54,7,7,7
809,ACL,1444B,QUICK CONNECT,,,2,2,30.71,0,224800,30.71,15.56,15.56,15.33
810,ACL,1448B,Radiator Hose/Upper,,,1,1,82.86,0,225100,82.86,44.75,44.75,44.75
811,ACL,1452B,HEATER HOSE,,,0,0,44,0,225200,44,28.6,28.6,28.6
812,ACL,1456B,ADAPTER,,,1,1,31.14,0,225600,31.14,20.24,20.24,20.24
813,ACL,1472B,WATER FLANGE,,,2,2,28.29,0,225900,28.29,12.3,12.3,12.3
814,ACL,1474B,WATER FLANGE,,,7,7,41.4,0,226200,41.4,20.5,20.5,20.411
815,ACL,1571B,Cam Follower,,,0,0,37.14,0,226500,37.14,20,20,20
816,ACL,1573B,VW G13 COOLANT 5L,,,13,13,49.97,0,226800,49.97,25.75,25.75,25.707
817,ACL,1592B,3D0129620E AIR FILTER,,,1,1,26.68,0,227100,26.68,17.34,17.34,17.34
818,ACL,B-1612,Radiator Hose LOWER,,,0,0,36.43,0,227400,36.43,15.4,15.4,15.4
819,ACL,B-1614,Radiator Hose UPPER,,,0,0,34.29,0,227700,34.29,13.2,13.2,13.2
820,ACL,B-1631,HOSE,,,0,0,11.47,0,228000,11.47,3.2,3.2,3.2
821,ACL,1670B,Combi Valve,,,0,0,226.37,0,228300,226.37,103,103,103
822,ACL,B-1695,RAD HOSE,,,0,0,,0,228400,,45.1,45.1,45.1
823,ACL,B1696,LOWER RAD HOSE,,,0,0,65.85,0,228500,65.85,42.8,42.8,42.8
824,ACL,B1717,HOSE UP RAD,,,2,2,62.14,0,228800,62.14,32.7,32.7,32.7
825,ACL,B-1718,RADIATOR HOSE,,,1,1,66.73,0,229100,66.73,32.4,32.4,32.4
826,ACL,B1723,UP HOSE 23404,,,0,0,57.14,0,229400,57.14,42.3,42.3,32.9
827,ACL,B1724,LOWER RAD.HOSE   GAT23405,,,0,0,64.29,0,229700,64.29,36.8,36.8,36.8
828,ACL,B-1730,UPPER RADIATOR HOSE,,,0,0,135.71,0,230000,135.71,70.9,70.9,70.9
829,ACL,B-1731,LOWER RADIATOR HOSE,,,0,0,52.04,0,230300,52.04,25.5,25.5,25.5
830,ACL,B-1733,VENT HOSE (COOLTANK TO RAD HOSE),,,0,0,65.91,0,230600,65.91,32.3,32.3,32.3
831,ACL,B1736,1590401,,,2,2,65,0,230900,65,28.09,28.09,28.09
832,ACL,B1737,"Radiator Hose,Lower",,,1,1,64.29,0,231200,64.29,34.3,34.3,34.3
833,ACL,1927B,BUSHING,,,1,1,30.77,0,231500,30.77,14,14,14
834,ACL,1928B,UPPER BUSHING,,,0,0,,0,231900,,25,25,25
835,ACL,1946B,BOLT,,,0,0,2.63,0,232200,2.63,1.71,1.71,1.71
836,ACL,1949B,ENGINE MOUNT,,,0,0,,0,232600,,69.71,69.71,69.71
837,ACL,1955B,BOLT,,,0,0,4.69,0,232900,4.69,3.05,3.05,3.05
838,ACL,1957B,TRANY MOUNT,,,1,1,135.71,0,233200,135.71,45,45,45
839,ACL,B-1980,COOLANT TANK,,,0,0,94.43,0,233500,94.43,53.4,53.4,53.4
840,ACL,B1981,COOLANT TANK,,,1,1,110,0,233800,110,54.1,54.1,54.1
841,ACL,B1982,COOLANT TANK,,,0,0,58.77,0,234200,58.77,38.2,38.2,38.2
842,ACL,B1983,COOLANT TANK JASON!!!!!,,,14,14,100.97,0,234500,100.97,38.75,38.75,38.75
843,ACL,B1993,EXP.TANK CAP,,,2,2,31.43,0,234800,31.43,12.4,12.4,13.35
844,ACL,B1999,SCREW,,,2,2,4.31,0,235100,4.31,2.8,2.8,2.8
845,ACL,B2071,RELEASE BEARING,,,1,1,79.03,0,235400,79.03,35.23,35.23,35.23
846,ACL,B-2084,CLUTCH KIT,,ACL,0,0,426.17,0,235700,426.17,235.6,235.6,235.6
847,ACL,B2093,CLUTCH KIT,,,0,0,732.92,0,236000,732.92,476.4,476.4,476.4
848,ACL,B2117,CLUTCH SLAVE CYLINDER,,,0,0,63.71,0,236300,63.71,41.41,41.41,41.41
849,ACL,B2120,CLUTCH SLAVE CYLINDER,,,0,0,52.77,0,236700,52.77,34.3,34.3,34.3
850,ACL,B2153,TRANSMISSION INPUT SEAL,,,0,0,54.86,0,237000,54.86,26.4,26.4,26.4
851,ACL,B-2202,A/T Filter Kit,,,0,0,63.51,0,237400,63.51,28.9,28.9,28.9
852,ACL,B2206,ATF FILTER KIT,,ACL,1,1,80.66,0,237700,80.66,36.7,36.7,37.2
853,ACL,B2207,ATF FILTER WITH BOLT & METAL GAS,,ACL,0,0,99.79,0,238000,99.79,45.7,45.7,45.7
854,ACL,B-2209,A/T FILTER KIT,,,0,0,45.71,0,238300,45.71,22.4,22.4,22.4
855,ACL,B-2304,TRANSMISSION MOUNT,,,0,0,14,0,238700,14,8.3,8.3,8.3
856,ACL,2893B,BELT,,,0,0,53.6,0,239000,53.6,37.32,37.32,37.32
857,ACL,B3070,FLEX DISC,,,0,0,,0,239300,,48.1,48.1,48.1
858,ACL,B-3072,FLEX DISC 110X78MM,,,0,0,113.19,0,239600,113.19,42.1,42.1,44.5
859,ACL,B3075,DRIVESHAFT FLEX DIS,,,0,0,95,0,239900,95,76.8,76.8,76.8
860,ACL,B3104,Control Arm,,,0,0,168.29,0,240200,168.29,87.8,87.8,87.8
861,ACL,B3105,Control Arm,,,0,0,168.29,0,240500,168.29,87.8,87.8,87.8
862,ACL,B3109,"Ball Joint, INNER",,,2,2,41.1,0,240800,41.1,18.7,18.7,18.7
863,ACL,B-3116,"Ball Joint, OUTER",,,1,1,57.14,0,241100,57.14,28.7,28.7,28.7
864,ACL,B3119,LOWER BALL JOINT,,,1,1,38.6,0,241400,38.6,25.09,25.09,25.09
865,ACL,B3234,CONTROL ARM LH,,,0,0,268.57,0,241700,268.57,168.9,168.9,168.9
866,ACL,B3236,ARM RADIUS LH,,,0,0,207.14,0,242000,207.14,66.9,66.9,66.9
867,ACL,B3248,FEBI K620117,,,0,0,192.86,0,242300,192.86,80.4,80.4,80.4
868,ACL,B3249,FEBI K620118,,,1,1,192.86,0,242600,192.86,80.4,80.4,80.4
869,ACL,B3274,"Bushing, Radius Control Arm",,,0,0,47.46,0,242900,47.46,22.9,22.9,23.26
870,ACL,B3277,ARM BUSHING,,,1,1,49.71,0,243200,49.71,21.7,21.7,21.7
871,ACL,B3305,FT WHEEL BERING,,,0,0,86.77,0,243500,86.77,56.4,56.4,56.4
872,ACL,B-3306,WHEEL BEARING,,,0,0,107.47,0,243800,107.47,51.3,51.3,48.9
873,ACL,B3309,"Wheel Bearing, FRONT",,,0,0,186.95,0,244100,186.95,129.4,129.4,129.4
874,ACL,B3311,REAR AXLE SUBFRAME MOUNT,,,0,0,45.3,0,244400,45.3,22.2,22.2,22.2
875,ACL,B3319,FT STRUT MOUNT,,,0,0,58.36,0,244700,58.36,29.8,29.8,29.8
876,ACL,B3326,SWAYBAR LINK F SD21163,,,3,3,44.64,0,245000,44.64,17.4,17.4,17.4
877,ACL,B3327,"Stabilizer Bar Link, FRONT",,ACL,1,1,62.2,0,245300,62.2,28.3,28.3,28.3
878,ACL,B3328,"Stabilizer Bar Link, FRONT",,ACL,1,1,62.2,0,245600,62.2,28.3,28.3,28.3
879,ACL,B3365,REAR SHOCKS,,,0,0,128.31,0,245900,128.31,83.4,83.4,83.4
880,ACL,B3381,UP. SHOCK MOUNT REAR,,,2,2,29.37,0,246200,29.37,11.2,11.2,11.2
881,ACL,B3381A,REAR SHOCK MOUNT,,,0,0,23.54,0,246200,23.54,15.3,15.3,15.3
882,ACL,3381B,COOLER SEAL,,ACL,1,1,3.79,0,246500,3.79,1.2,1.2,1.2
883,ACL,B3389,P/S RESERVOIR,,,0,0,55,0,246800,55,24.2,24.2,24.2
884,ACL,B3401,IDLER ARM BUSHING,,,0,0,24.46,0,247100,24.46,15.9,15.9,15.9
885,ACL,B3407,TIE ROD ENDS,,,0,0,113.38,0,247500,113.38,73.7,73.7,73.7
886,ACL,B3408,"Tie Rod End,LEFT/RIGHT",,,0,0,111.43,0,247800,111.43,53.1,53.1,53.1
887,ACL,B3410,TIR ROD ASS,,,0,0,,0,248200,,98.9,98.9,98.9
888,ACL,B3416,LH OUTTER TIE ROD,,,0,0,70.31,0,248600,70.31,45.7,45.7,45.7
889,ACL,B3417,RH TIE ROD END,,,0,0,92.86,0,248900,92.86,45.7,45.7,45.7
890,ACL,B3420,TIE ROD ASSEMBL,,,1,1,83.14,0,249200,83.14,48.2,48.2,48.2
891,ACL,B3430,LH TIE ROD ASSEMBLY,,,1,1,65.5,0,249500,65.5,34.88,34.88,34.88
892,ACL,B3431,RH TIE ROD ASSEMBLY,,,0,0,65.5,0,249800,65.5,34.88,34.88,34.88
893,ACL,B3435,Tie Rod End,,,0,0,88.66,0,250100,88.66,56.4,56.4,57.63
894,ACL,B3437,Tie Rod Assembly,,,0,0,105.65,0,250400,105.65,58.9,58.9,68.67
895,ACL,B3451,CENTRE TIE RODL,,,0,0,282.86,0,250700,282.86,192.3,192.3,192.3
896,ACL,B3471,TIE ROD BOOT,,ACL,1,1,28.29,0,251000,28.29,9.8,9.8,9.8
897,ACL,B3473,Tie Rod Boot Kit,,,0,0,8.62,0,251300,8.62,5.6,5.6,5.6
898,ACL,B3493,PINION SEAL,,,0,0,15.71,0,251600,15.71,6.8,6.8,6.8
899,ACL,B3497,SEAL,,,2,2,32.29,0,251900,32.29,11.8,11.8,11.8
900,ACL,B3510,"TRW Stabilizer Bar Link, REAR",,,2,2,28.57,0,252200,28.57,10.5,10.5,10.5
901,ACL,B3513,SW BAR LINK,,,0,0,20.15,0,252600,20.15,13.1,13.1,13.1
902,ACL,B3517,INTEGRAL LINK,,,0,0,51.85,0,253000,51.85,33.7,33.7,33.7
903,ACL,B3523,WHELL BEARING,,ACL,1,1,126.64,0,253300,126.64,54.23,54.23,54.23
904,ACL,B-3600,UPPER TRAIL ARM BUSHING,,,0,0,83.79,0,253600,83.79,32.2,32.2,32.2
905,ACL,B3601,BUSHING,,,8,8,33.71,0,253900,33.71,14.6,14.6,14.6
906,ACL,B3602,BUSHING K200012,,,4,4,62.57,0,254200,62.57,31.2,31.2,32.8
907,ACL,B3604,TRAILING ARM BU,,,5,5,25.54,0,254500,25.54,10.4,10.4,10.592
908,ACL,B3701,WISHBONE LINK,,ACL,0,0,242.54,0,254800,242.54,110.36,110.36,110.36
909,ACL,B3704,"WISHBONE LINK,RIGHT RK620628",,,0,0,100.71,0,255100,100.71,50.4,50.4,50.4
910,ACL,B3705,"WISHBONE LINK,LEFT RK620627",,,0,0,100.71,0,255400,100.71,50.4,50.4,50.4
911,ACL,B3708,"ROD LINK,REAR",,,0,0,89.19,0,255700,89.19,43.7,43.7,43.7
912,ACL,B3710,GUIDE LINK,,,0,0,84.15,0,256100,84.15,54.7,54.7,54.7
913,ACL,B3763,"Coil Spring,Front",,,1,1,114.26,0,256400,114.26,51.2,51.2,58.9
914,ACL,B3776,COIL SPRING,,,2,2,132.14,0,256700,132.14,80.7,80.7,80.7
915,ACL,B3783,COIL SPRING,,,0,0,148.54,0,257000,148.54,74.3,74.3,74.3
916,ACL,B3787,"Coil Spring,REAR",,,0,0,195.39,0,257300,195.39,84.3,84.3,84.3
917,ACL,3998B,"TITAN ATF 3353,MB236.12  4L",,,4,4,85.64,0,257600,85.64,46.95,46.95,46.95
918,ACL,3999B,4L ATF,,,4,4,82.86,0,257900,82.86,40,40,40
919,ACL,M45951,AIR COMPRESSOR,,,0,0,900,0,257900,900,585,585,585
920,ACL,B4002,CV BOOT,,,1,1,37.54,0,258200,37.54,14.7,14.7,14.28
921,ACL,B4003,CV BOOT KIT,,,2,2,45.43,0,258500,45.43,22.8,22.8,22.8
922,ACL,B-4020,ALXE NUT,,,0,0,11.14,0,258800,11.14,4.5,4.5,4.5
923,ACL,B-4100,Brake Hose,,,1,1,22.86,0,259100,22.86,8.4,8.4,8.4
924,ACL,B4112,BRAKE HOSE FRT,,,1,1,32.29,0,259400,32.29,13.26,13.26,13.26
925,ACL,B4116,BRAKE HOSE FROT,,,1,1,24.71,0,259700,24.71,12.5,12.5,12.5
926,ACL,B4117,"Brake Hose, Rear",,,1,1,22.91,0,260000,22.91,14.9,14.9,14.89
927,ACL,B4139,TRW PADS D1061A/ TEX D1061,,,0,0,119.86,0,260300,119.86,68.9,68.9,68.9
928,ACL,B4175,TRW PADS D781,,,0,0,81.43,0,260600,81.43,40.2,40.2,40.2
929,ACL,B4179,TRW PADS D681 TRW TRW,,,2,2,116.94,0,260900,116.94,57.2,57.2,47.147
930,ACL,B4180,TRW BRAKE PADS34116761280,,,0,0,74.52,0,261000,74.52,55.8,55.8,55.8
931,ACL,B4182,BRAKE ROTOR,,,0,0,49.54,0,261100,49.54,32.2,32.2,32.2
932,ACL,B4183,TRW PADS D683 TRW TRW,,,0,0,76.1,0,261200,76.1,50.4,50.4,50.4
933,ACL,B4185,TRW PADS D1171,,,1,1,69.4,0,261500,69.4,14.23,14.23,24.558
934,ACL,B4186,TRW PADS D1239,,,1,1,74.19,0,261800,74.19,36.52,36.52,31.46
935,ACL,B4187,TRW PADS D279,,,0,0,56.91,0,262100,56.91,27.6,27.6,27.6
936,ACL,B4190,REAR WAER SENSOR,,,0,0,11.43,0,262400,11.43,5.5,5.5,5.5
937,ACL,B4191,REAR WAER SENSOR,,,1,1,7.38,0,262400,7.38,4.8,4.8,3.9
938,ACL,B4192,REAR WAER SENSOR,,,1,1,6,0,262400,6,3.9,3.9,3.9
939,ACL,B4193,REAR WAER SENSOR,,,3,3,6,0,262400,6,3.9,3.9,3.9
940,ACL,B4202,REAR WAER SENSOR,,,2,2,12.62,0,262400,12.62,8.2,8.2,8.2
941,ACL,B4211,REAR WAER SENSOR,,,2,2,16,0,262400,16,10.4,10.4,10.4
942,ACL,B4213A,REAR WAER SENSOR,,,1,1,21.85,0,262400,21.85,14.2,14.2,14.2
943,ACL,M68201,REAR WAER SENSOR,,,2,2,2.69,0,262400,2.69,1.75,1.75,1.75
944,ACL,P6915S,REAR WAER SENSOR,,,2,2,9.52,0,262400,9.52,6.19,6.19,6.19
945,ACL,B-4194,"Brake Wear Sensor, FRONT",,,2,2,16.31,0,262500,16.31,10.6,10.6,10.6
946,ACL,B4195,BRAKE SENSOR,,,2,2,12.55,0,262800,12.55,6.75,6.75,6.75
947,ACL,B4196,BRAKE  SENSOR 34352229018/10031,,,3,3,21.4,0,263100,21.4,6.84,6.84,7.213
948,ACL,B4197,PAD SENSOR 34351163066/10016,,,3,3,21.76,0,263400,21.76,6.73,6.73,6.73
949,ACL,B4200,PADS SENSOR 34351164371-10019,,,13,13,26.5,0,263700,26.5,6.84,6.84,6.881
950,ACL,B4201,PAD SENSOR34351164372 -10020,,,10,10,22.21,0,264000,22.21,6.84,6.84,6.84
951,ACL,B4203,PAD SENSOR34351182065 -10028,,,4,4,17.9,0,264300,17.9,6.27,6.27,9.4
952,ACL,B4204,E46 M3 SENSOR34356751311/10034,,,6,6,19.23,0,264600,19.23,10.9,10.9,6.5
953,ACL,B4206,BRAKE SENS34351165579 /10021,,,5,5,25.64,0,264900,25.64,7.41,7.41,7.41
954,ACL,B4207,BRAKE SENS34351165580   /10022,,,3,3,25.64,0,265200,25.64,6.84,6.84,6.949
955,ACL,B-4213,SENSOR S/A B4213A /10041,,,3,3,31.21,0,265500,31.21,7.52,7.52,8.837
956,ACL,B4214,BRAKE PADS SENS 10042,,,3,3,27.86,0,265800,27.86,7.52,7.52,7.52
957,ACL,B4215,PAD SENSOR34353411756/10032,,,2,2,26.37,0,266100,26.37,7.41,7.41,7.41
958,ACL,B4216,PAD SENSOR 10033,,,3,3,27.06,0,266400,27.06,7.41,7.41,7.652
959,ACL,B4220,BRAKE  SENSOR 34356762253/10040,,,3,3,28.17,0,266700,28.17,9.35,9.35,9.35
960,ACL,B4301,FT ROTORS,,,2,2,81.23,0,267100,81.23,49.28,49.28,49.28
961,ACL,B4308,FT ROTOR,,,0,0,71.85,0,267400,71.85,48.7,48.7,48.7
962,ACL,B4309,FRONT ROTOR,,,0,0,82.1,0,267500,82.1,62.1,62.1,62.1
963,ACL,B-4316,FRONT ROTOR,,,0,0,87.38,0,267600,87.38,56.8,56.8,56.8
964,ACL,B-4318,FRONT ROTOR ZIMMER,,,0,0,67.14,0,267900,67.14,46.8,46.8,46.8
965,ACL,B4321,"Brake Disc, Rear/34315",,,2,2,87.38,0,268200,87.38,56.9,56.9,48.91
966,ACL,B4325,REAR ROTOR,,,0,0,55.71,0,268500,55.71,25.5,25.5,25.5
967,ACL,B4340,ZIMMERMAN ROTORS,,,0,0,112.62,0,268600,112.62,73.2,73.2,73.2
968,ACL,B4342,REAR ROTORS,,,0,0,108.92,0,269000,108.92,73.4,73.4,70.8
969,ACL,B-4344,"Brake Disc, REAR",,,2,2,122.86,0,269300,122.86,57.53,57.53,57.53
970,ACL,B4380,WHEEL BOLT,,ACL,10,10,5.11,0,269600,5.11,2.1,2.1,2.1
971,ACL,4422B,8N0407182A BUS. LEMFORDER,,,2,2,36.94,0,269900,36.94,16.32,16.32,16.32
972,ACL,B4433,BRAKE CABLE,,,2,2,29.01,0,270200,29.01,13.2,13.2,13.2
973,ACL,B4451,EMERGENCY BRAKE SHOE,,,0,0,46.07,0,270500,46.07,24.16,24.16,24.16
974,ACL,B4461,BRAKE HARDWARE,,,10,10,23.69,0,270800,23.69,12.3,12.3,12.3
975,ACL,B4462,BRAKE HARDWARE,,,1,1,26.37,0,271100,26.37,12,12,12
976,ACL,B4464,BRK HARDWR KIT,,,2,2,18.94,0,271400,18.94,7.8,7.8,7.777
977,ACL,B-4465,SPRING KIT,,,1,1,20,0,271700,20,7.9,7.9,7.9
978,ACL,4509B,SWAY BAR BUSHING,,,0,0,5.2,0,272000,5.2,2.55,2.55,2.55
979,ACL,B4514,FT ABS SENSOR,,,0,0,89.53,0,272300,89.53,47.86,47.86,47.86
980,ACL,B4515,REAR ABS SENSOR,,,0,0,108.29,0,272600,108.29,56.8,56.8,56.8
981,ACL,B-4516,00 BMW Z3 2.5L ABS SENSOR REAR,,,0,0,,0,272900,,104.3,104.3,104.3
982,ACL,B4522,FT.ABS SENSOR,,,1,1,176.76,0,273200,176.76,57.49,57.49,57.49
983,ACL,B4523,RE.ABS SENSOR,,,1,1,180.69,0,273500,180.69,58.76,58.76,58.76
984,ACL,B4525,"ABS Sensor, REAR",,ACL,1,1,150,0,273800,150,90.7,90.7,90.7
985,ACL,B4527,"ABS Sensor, Front",,,0,0,136.31,0,274100,136.31,88.6,88.6,88.6
986,ACL,B4528,"ABS Sensor, REAR",,ACL,1,1,135.71,0,274400,135.71,82.19,82.19,82.19
987,ACL,B4530,"ABS Sensor, FRONT RIGHT",,ACL,0,0,141.43,0,274700,141.43,88.43,88.43,88.43
988,ACL,B4531,"ABS Sensor, REAR",,ACL,0,0,113.66,0,275000,113.66,69.56,69.56,69.56
989,ACL,B4535,"ABS Sensor, Front",,,0,0,153.34,0,275300,153.34,89.8,89.8,99.67
990,ACL,B4536,REAR ABS SENSOR,,,0,0,147.38,0,275600,147.38,95.8,95.8,95.8
991,ACL,4610B,Shock Absorber,,,0,0,115.38,0,275900,115.38,80,80,75
992,ACL,4968B,OUTER CV Boot Kit,,ACL,2,2,27.14,0,276200,27.14,12.35,12.35,11
993,ACL,B5056,EXHAUST GSK,,,0,0,9.85,0,276600,9.85,6.4,6.4,6.4
994,ACL,B5100,EXH HANGER,,,0,0,7.15,0,276900,7.15,3.15,3.15,3.15
995,ACL,5441B,R.SWAYBAR BUSHG,,,1,1,13.6,0,277200,13.6,4.15,4.15,4.15
996,ACL,5614B,UPPER SPEING SEAT,,,0,0,,0,277500,,6,6,
997,ACL,5622B,"Coil Spring,Rear",,,0,0,106.19,0,277800,106.19,56.1,56.1,56.1
998,ACL,6778B,TRW CALIPER,,,0,0,461.54,0,277900,461.54,300,300,300
999,ACL,6778D,TRW CALIPER,,,0,0,385,0,277900,385,300.084,300.084,300.084
1000,ACL,6785B,BRAKE CALIPER,,,0,0,95.91,0,278200,95.91,47,47,47
1001,ACL,6800B,"Caliper,Rear",,,0,0,508.57,0,278500,508.57,150,150,230
1002,ACL,6841B,FT ROTOR,,,0,0,99.84,0,278800,99.84,52.25,52.25,52.25
1003,ACL,6846B,ROTOR,,ACL,4,4,70.33,0,279100,70.33,40.07,40.07,40.07
1004,ACL,6851B,BREMBO BRAKE ROTORS,,,2,2,87.28,0,279200,87.28,38.66,38.66,38.66
1005,ACL,6907B,"Brake Disc,Rear/34431",,,0,0,56.92,0,279500,56.92,42.5,42.5,37
1006,ACL,6923B,BRAKE SENSOR,,,2,2,10.77,0,279600,10.77,7,7,7
1007,ACL,6983B,BLEEDER SCREW CAP,,,1,1,6.43,0,279900,6.43,1.5,1.5,1.5
1008,ACL,B-7041,"Trunk Shock,SEDAN/COUPE",,,0,0,45.71,0,280200,45.71,18.97,18.97,18.97
1009,ACL,7614B,O-RING,,,1,1,8.13,0,280500,8.13,3.7,3.7,3.7
1010,ACL,B-7828,REAR (R) WINDOW REG,,,0,0,130,0,280800,130,65.4,65.4,65.4
1011,ACL,B7843,BAW WINDOW REGU,,,1,1,222.86,0,281100,222.86,109.3,109.3,109.3
1012,ACL,B8034,POWER WINDOW SWITCH,,,0,0,,0,281200,,14.2,14.2,14.2
1013,ACL,B8056,HEATER CORE,,,0,0,244.46,0,281600,244.46,158.9,158.9,158.9
1014,ACL,8098B,BLOWER RESISTOR,,,0,0,,0,281900,,154.51,154.51,154.51
1015,ACL,B8103,BLOWER MOTOR ASSEMBLY,,,0,0,317.38,0,282300,317.38,178.6,178.6,178.6
1016,ACL,B8110,CABIN FILTER,,,0,0,28.36,0,282600,28.36,12.34,12.34,12.34
1017,ACL,B8112,CABIN FILTER,,,1,1,50.29,0,282900,50.29,24.2,24.2,24.2
1018,ACL,B8114,CABIN AIR FILTER,,,0,0,41.41,0,283200,41.41,16.2,16.2,16.6
1019,ACL,B8116,RESISTOR HT MOTOR E30,,,0,0,54.42,0,283500,54.42,35.37,35.37,35.37
1020,ACL,B8122,Blower Motor Resistor,,,0,0,78.77,0,283800,78.77,64.9,64.9,51.2
1021,ACL,B8124,BLOWER MOTOR RE,,,1,1,133.66,0,284100,133.66,59,59,59
1022,ACL,B8125,B/M RE. RU652,,,0,0,121.43,0,284400,121.43,60.7,60.7,60.7
1023,ACL,B8439,DOOR LOCK ACTUATOR,,,0,0,,0,284500,,62.3,62.3,62.3
1024,ACL,B9017,02 SENSOR,,,0,0,126.79,0,284800,126.79,43.98,43.98,43.98
1025,ACL,B9021,02 SENSOR,,,0,0,126.79,0,285100,126.79,43.98,43.98,43.98
1026,ACL,B9037,02 SENSOR 13884,,,1,1,232.39,0,285400,232.39,86,86,86
1027,ACL,B9041,OXYGEN SENSOR 15558,,,1,1,192.39,0,285700,192.39,70.7,70.7,70.7
1028,ACL,9051B,IGN.COIL,,,2,2,68.57,0,286000,68.57,44,44,44
1029,ACL,9052B,UF484 IGNI.COIL,,,2,2,225.71,0,286300,225.71,115,115,115
1030,ACL,B9054,MASS AIR FLOW S,,,1,1,384.29,0,286600,384.29,166.6,166.6,166.6
